ac_name,ac_no,type,district,winning_cand,party,totelectors,totvotes,poll_percentage,margin,winning_percentage,
Ambasamudram,225,GEN,Tirunelveli,E Subaya,All India Anna Dravida Munnetra Kazhagam,"1,93,734","1,45,460",75.10%,24609,16.90%,
Palayamkottai,226,GEN,Tirunelveli,T.P.M.Mohideen Khan,Dravida Munetra Kazhagam,"1,97,855","1,35,770",68.60%,605,0.40%,
Nanguneri,227,GEN,Tirunelveli,A.Narayanan,All India Anna Dravida Munnetra Kazhagam,"1,90,748","1,42,677",74.80%,12280,8.60%,
Radhapuram,228,GEN,Tirunelveli,S.Michael Rayappan,Desiya Murpokku Dravida Kazhagam,"1,95,099","1,38,694",71.10%,21475,15.50%,
Kanniyakumari,229,GEN,Kanniyakumari,Patchaimal.K.T,All India Anna Dravida Munnetra Kazhagam,"2,37,852","1,80,206",75.80%,17804,9.90%,
Nagercoil,230,GEN,Kanniyakumari,Nanjil Murugesan.A,All India Anna Dravida Munnetra Kazhagam,"2,09,697","1,47,019",70.10%,6727,4.60%,
Colachal,231,GEN,Kanniyakumari,Prince.J.G,Indian National Congress,"2,26,317","1,45,488",64.30%,11821,8.10%,
Padmanabhapuram,232,GEN,Kanniyakumari,Dr.Pushpa Leela Alban,Dravida Munetra Kazhagam,"2,06,389","1,44,362",69.90%,19321,13.40%,
Vilavancode,233,GEN,Kanniyakumari,Vijayadharani.S,Indian National Congress,"2,07,632","1,43,948",69.30%,23789,16.50%,
Killiyoor,234,GEN,Kanniyakumari,John Jacob.S,Indian National Congress,"2,13,660","1,36,544",63.90%,24486,17.90%,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
