ac_name,ac_no,type,winning_cand,party,totelectors,totvotes,poll_percentage,margin,winning_percentage,
Rajapalayam,209,SC,Rajasekar M.,All India Anna Dravida Munnetra Kazhagam,"2,03,123","1,29,779",63.89,9595,7.40%,
Vilathikulam,210,GEN,Perumal .N.K,All India Anna Dravida Munnetra Kazhagam,"1,51,571","92,282",60.88,15243,16.50%,
Pottapidaram,211,SC,Sivaperumal .A.,All India Anna Dravida Munnetra Kazhagam,"1,43,277","90,875",63.43,651,0.70%,
Koilpatti,212,GEN,Rajendran .S.,Communist Party Of India,"1,93,861","1,13,785",58.69,9039,7.90%,
Sankaranayanarkoil,213,SC,Karuppasamy C.,All India Anna Dravida Munnetra Kazhagam,"1,85,591","1,19,522",64.4,9262,7.70%,
Vasudevanallur,214,SC,Easwaran R,Tamil Maanila Congress (MOOPANAR),"1,67,586","1,02,165",60.96,11552,11.30%,
Kadayanallur,215,GEN,Subbiah Pandian.M.,All India Anna Dravida Munnetra Kazhagam,"1,74,540","1,05,881",60.66,1244,1.20%,
Tenkasi,216,GEN,Annamalai.K.,All India Anna Dravida Munnetra Kazhagam,"1,90,762","1,21,695",63.79,8792,7.20%,
Alangulam,217,GEN,Rajendran .P.G.,All India Anna Dravida Munnetra Kazhagam,"1,82,877","1,19,555",65.37,4111,3.40%,
Tirunelveli,218,GEN,Nainar Nagendran.,All India Anna Dravida Munnetra Kazhagam,"1,96,785","1,04,537",53.12,722,0.70%,
Palayamcottai,219,GEN,Mohideen Khan.T.P.M,Dravida Munetra Kazhagam,"2,14,114","1,05,303",49.18,14748,14.00%,
Cheranmahadevi,220,GEN,Paul Manoj Pandian.P.H.,All India Anna Dravida Munnetra Kazhagam,"1,54,502","93,202",60.32,10975,11.80%,
Ambasamudram,221,GEN,Sakthivel Murugan.M.,All India Anna Dravida Munnetra Kazhagam,"1,54,974","89,639",57.84,4020,4.50%,
Nanguneri,222,GEN,Manickaraj.S.,All India Anna Dravida Munnetra Kazhagam,"1,74,269","90,490",51.93,9161,10.10%,
Radhapuram,223,GEN,Appavu .M,Independent,"1,81,038","98,285",54.29,18281,18.60%,
Sattangulam,224,GEN,Maninadar .S.S,Tamil Maanila Congress (MOOPANAR),"1,71,481","77,651",45.28,5766,7.40%,
